code,system
H51,icd10
H02.7,icd10
H51.0,icd10
H51.2,icd10
H51.9,icd10
H53.3,icd10
H51.8,icd10
H35.5,icd10
H18.5,icd10
H31.2,icd10
H45.1,icd10
H44.0,icd10
H44.1,icd10
H10.3,icd10
H16.1,icd10
H13.1,icd10
H10.0,icd10
H19.3,icd10
H13.2,icd10
H10.8,icd10
H10.5,icd10
H10.1,icd10
H10.9,icd10
H19.1,icd10
H10,icd10
H10.4,icd10
H16.2,icd10
H10.2,icd10
H19.2,icd10
H54.4,icd10
H54.2,icd10
H54.1,icd10
H54.5,icd10
H54,icd10
H54.0,icd10
H15.1,icd10
H19.0,icd10
H15.0,icd10
H18.8,icd10
H50.8,icd10
H57.8,icd10
H44.9,icd10
H02.9,icd10
H01.9,icd10
H43.9,icd10
H35.9,icd10
H26.9,icd10
H20.9,icd10
H47.1,icd10
H05.9,icd10
H15.9,icd10
H57.9,icd10
H53.9,icd10
H50.9,icd10
H30.9,icd10
H01.8,icd10
H26.8,icd10
H21.9,icd10
H16.9,icd10
H47.7,icd10
H35.8,icd10
H18.9,icd10
H40.9,icd10
H27.9,icd10
H02.8,icd10
H27.8,icd10
H04.9,icd10
H54.7,icd10
H21.8,icd10
H11.1,icd10
H31.1,icd10
H18.4,icd10
H44.3,icd10
H21.2,icd10
H35.4,icd10
H44.8,icd10
H44,icd10
H44.4,icd10
H18,icd10
H18.6,icd10
H18.2,icd10
H18.1,icd10
H19.8,icd10
H15,icd10
H19,icd10
H15.8,icd10
H52.7,icd10
H52,icd10
H52.0,icd10
H52.4,icd10
H52.5,icd10
H52.3,icd10
H52.6,icd10
H52.2,icd10
H57.0,icd10
H02.5,icd10
H50.4,icd10
H50.3,icd10
H53.6,icd10
H48,icd10
H53.5,icd10
H48.8,icd10
H53.0,icd10
H53.8,icd10
H53.1,icd10
H53,icd10
H53.2,icd10
H53.4,icd10
H48.1,icd10
H46,icd10
H46.X,icd10
H26.1,icd10
H28.8,icd10
H28,icd10
H26.3,icd10
H26,icd10
H26.2,icd10
H26.4,icd10
H28.2,icd10
H47,icd10
H47.5,icd10
H47.3,icd10
H47.0,icd10
H47.6,icd10
H47.4,icd10
H49.9,icd10
H49,icd10
H49.8,icd10
H05.1,icd10
H20.1,icd10
H30,icd10
H36.8,icd10
H30.1,icd10
H32,icd10
H30.0,icd10
H35,icd10
H30.8,icd10
H35.7,icd10
H32.8,icd10
H36,icd10
H21.5,icd10
H21.3,icd10
H21,icd10
H21.0,icd10
H22,icd10
H22.8,icd10
H11.2,icd10
H11.8,icd10
H11.9,icd10
H13.8,icd10
H11,icd10
H11.3,icd10
H11.4,icd10
H13,icd10
H11.0,icd10
H13.0,icd10
H31.0,icd10
H31.9,icd10
H31.4,icd10
H31.3,icd10
H31.8,icd10
H31,icd10
H04.6,icd10
H35.0,icd10
H40.3,icd10
H40.6,icd10
H40.5,icd10
H40.4,icd10
H05,icd10
H05.8,icd10
H05.4,icd10
H34.0,icd10
H34.2,icd10
H01.1,icd10
H22.0,icd10
H32.0,icd10
H26.0,icd10
H25.0,icd10
H25.8,icd10
H25.1,icd10
H25.9,icd10
H25,icd10
H25.2,icd10
H05.3,icd10
H18.7,icd10
H00.0,icd10
H00.1,icd10
H00,icd10
H28.1,icd10
H42.0,icd10
H40.2,icd10
H40.1,icd10
H01,icd10
H01.0,icd10
H48.0,icd10
H47.2,icd10
H16.3,icd10
H16.8,icd10
H16.0,icd10
H16,icd10
H04.3,icd10
H04.4,icd10
H43.2,icd10
H18.0,icd10
H40.0,icd10
H40,icd10
H40.8,icd10
H42.8,icd10
H42,icd10
H35.6,icd10
H43.1,icd10
H45.0,icd10
H34.8,icd10
H34.9,icd10
H34,icd10
H33.2,icd10
H33.5,icd10
H33.3,icd10
H33.4,icd10
H33,icd10
H33.0,icd10
H33.1,icd10
H20,icd10
H22.1,icd10
H20.8,icd10
H20.2,icd10
H03,icd10
H04.2,icd10
H06.0,icd10
H04.1,icd10
H04.0,icd10
H06,icd10
H06.2,icd10
H06.3,icd10
H04,icd10
H04.8,icd10
H49.4,icd10
H49.3,icd10
H50,icd10
H50.6,icd10
H50.2,icd10
H50.5,icd10
H49.1,icd10
H49.0,icd10
H49.2,icd10
H02.3,icd10
H27.1,icd10
H02.1,icd10
H02.0,icd10
H02.4,icd10
H27.0,icd10
H27,icd10
H02.2,icd10
H57.1,icd10
H44.7,icd10
H44.6,icd10
H13.3,icd10
H55,icd10
H55.X,icd10
H21.1,icd10
H16.4,icd10
H04.5,icd10
H51.1,icd10
H50.0,icd10
H50.1,icd10
H17,icd10
H17.8,icd10
H43.3,icd10
H17.9,icd10
H17.0,icd10
H02.6,icd10
H17.1,icd10
H34.1,icd10
H03.1,icd10
H03.8,icd10
H35.1,icd10
H35.2,icd10
H52.1,icd10
H44.2,icd10
H06.1,icd10
H03.0,icd10
H35.3,icd10
H30.2,icd10
H05.0,icd10
H20.0,icd10
H44.5,icd10
H05.2,icd10
H54.3,icd10
H54.6,icd10
H45.8,icd10
H45,icd10
H43.0,icd10
H43.8,icd10
H43,icd10
H18.3,icd10
H21.4,icd10
H05.5,icd10
H57,icd10
H36.0,icd10
H28.0,icd10
H02,icd10
